"","x"
"910","Becn1"
"911","Bend3"
"912","Bend4"
"913","Bet1"
"914","Bet1l"
"915","Bex1"
"916","Bex4"
"917","Bhlhb9"
"918","Bhmt"
"919","Bhmt2"
"920","Bicd1"
"921","Bicd2"
"922","Bid"
"923","Bin1"
"924","Bin3"
"925","Birc2"
"926","Birc5"
"927","Birc6"
"928","Birc6"
"929","Blm"
"930","Blmh"
"931","Bloc1s1"
"932","Bloc1s2"
"933","Bloc1s3"
"934","Bloc1s4"
"935","Bloc1s5"
"936","Bloc1s6"
"937","Blvra"
"938","Blvrb"
"939","Blzf1"
"940","Bmi1"
"941","Bmp2k"
"942","Bmpr1a"
"943","Bms1"
"944","Bnc2"
"945","Bnip1"
"946","Bnip2"
"947","Bnip3"
"948","Bnip3l"
"949","Bod1"
"950","Bod1l"
"951","Bola1"
"952","Bola2"
"953","Bola3"
"954","Boll"
"955","Bop1"
"956","Bora"
"957","Bpgm"
"958","Bphl"
"959","Bpnt1"
"960","Bpnt1"
"961","Bptf"
"962","Bptf"
"963","Bptf"
"964","Braf"
"965","Brap"
"966","Brat1"
"967","Brca1"
"968","Brca2"
"969","Brcc3"
"970","Brd1"
"971","Brd1"
"972","Brd2"
"973","Brd2"
"974","Brd3"
"975","Brd4"
"976","Brd7"
"977","Brd8"
"978","Brd9"
"979","Bre"
"980","Brf1"
"981","Brf2"
"982","Bri3"
"983","Bri3bp"
"984","Brip1"
"985","Brix1"
"986","Brk1"
"987","Brms1"
"988","Brms1l"
"989","Brpf1"
"990","Brpf3"
"991","Brsk1"
"992","Brsk2"
"993","Brwd1"
"994","Brwd1"
"995","Brwd3"
"996","Bsdc1"
"997","Bsg"
"998","Bspry"
"999","Bst1"
"1000","Bst2"
"1001","Btaf1"
"1002","Btbd10"
"1003","Btbd17"
"1004","Btbd2"
"1005","Btbd7"
"1006","Btbd9"
"1007","Btd"
"1008","Btf3"
"1009","Btf3"
"1010","Btf3l4"
"1011","Btg3"
"1012","Btrc"
"1013","Bub1"
"1014","Bub1b"
"1015","Bub3"
"1016","Bud13"
"1017","Bud31"
"1018","Bysl"
"1019","Bzw1"
"1020","Bzw2"
"1021","C130073F10Rik"
"1022","C1galt1"
"1023","C1qbp"
"1024","C1qbp"
"1025","C2cd2"
"1026","C2cd2l"
"1027","C2cd3"
"1028","C2cd5"
"1029","C330007P06Rik"
"1030","Caap1"
"1031","Cab39"
"1032","Cab39l"
"1033","Cabin1"
"1034","Cables2"
"1035","Cacfd1"
"1036","Cachd1"
"1037","Cacna1a"
"1038","Cacna1b"
"1039","Cacna1c"
"1040","Cacna1i"
"1041","Cacnb3"
"1042","Cactin"
"1043","Cacul1"
"1044","Cacybp"
"1045","Cad"
"1046","Cad"
"1047","Cadm1"
"1048","Cadm4"
"1049","Cadps2"
"1050","Calb2"
"1051","Calcoco1"
"1052","Calcoco2"
"1053","Calcr"
"1054","Cald1"
"1055","Cald1"
"1056","Calm1"
"1057","Calr"
"1058","Calr4"
"1059","Calu"
"1060","Calu"
"1061","Camk1"
"1062","Camk1d"
"1063","Camk2b"
"1064","Camk2d"
"1065","Camk2g"
"1066","Camk2g"
"1067","Camk4"
"1068","Camkk1"
"1069","Camkk2"
"1070","Camkmt"
"1071","Camkv"
"1072","Camsap1"
"1073","Camsap2"
"1074","Camsap3"
"1075","Cand1"
"1076","Cand1"
"1077","Cand2"
"1078","Cant1"
"1079","Canx"
"1080","Cap1"
"1081","Cap2"
"1082","Capg"
"1083","Capn1"
"1084","Capn15"
"1085","Capn2"
"1086","Capn3"
"1087","Capn3"
"1088","Capn5"
"1089","Capn6"
"1090","Capn7"
"1091","Capns1"
"1092","Caprin1"
"1093","Caprin2"
"1094","Caprin2"
"1095","Capza1"
"1096","Capza2"
"1097","Capzb"
"1098","Card6"
"1099","Carhsp1"
"1100","Carkd"
"1101","Carkd"
"1102","Carm1"
"1103","Cars"
"1104","Cars"
"1105","Cars2"
"1106","Cars2"
"1107","Casc1"
"1108","Casc3"
"1109","Casc4"
"1110","Casc5"
"1111","Cask"
"1112","Caskin2"
"1113","Casp2"
"1114","Casp3"
"1115","Casp6"
"1116","Casp7"
"1117","Casp8"
"1118","Casp8ap2"
"1119","Casp9"
"1120","Casq2"
"1121","Cass4"
"1122","Cast"
"1123","Casz1"
"1124","Cat"
"1125","Cbfa2t2"
"1126","Cbfb"
"1127","Cbfb"
"1128","Cbl"
"1129","Cblb"
"1130","Cbll1"
"1131","Cbll1"
"1132","Cbr1"
"1133","Cbr3"
"1134","Cbr4"
"1135","Cbs"
"1136","Cbwd1"
"1137","Cbx1"
"1138","Cbx2"
"1139","Cbx3"
"1140","Cbx5"
"1141","Cbx6"
"1142","Cbx7"
"1143","Cbx8"
"1144","Cby1"
"1145","Cc2d1a"
"1146","Cc2d1b"
"1147","Cc2d2a"
"1148","Ccar1"
"1149","Ccar2"
"1150","Ccbl1"
"1151","Ccbl2"
"1152","Ccdc101"
